State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Andhra Pradesh,130089,143610,143610,158756,157123,173909,175087,179275,180441,181438,189780,192522,218015,114604
Arunachal Pradesh,2342,2228,2228,2256,2304,2294,2286,2374,2362,2439,2286,2420,2776,2843
Assam,36877,36346,36346,40675,42006,43673,45282,53333,55313,61668,66714,77682,87186,94337
Bihar,88432,94040,94040,108060,97850,100665,109420,122669,122931,127453,135896,146614,167455,177595
Chhattisgarh,38460,37950,37950,41927,43633,45177,45845,51442,51370,54958,57218,54598,56870,58200
Goa,2341,2440,2440,2127,2119,2204,2479,2742,3005,3293,3449,3608,4312,4466
Gujarat,103419,106675,106675,105469,113414,120972,123195,123808,115183,116439,123371,130121,157435,131385
Haryana,38759,40152,40152,39096,42664,50509,51597,55344,56229,59120,60741,62480,72098,79947
Himachal Pradesh,11499,12243,12243,12326,12345,13093,14222,13976,13315,13049,14312,12557,13750,14160
Jammu & Kashmir,19505,19967,19967,21191,20115,20787,21443,20604,21975,23223,24504,24608,25390,23848
Jharkhand,25447,31439,31439,31439,35175,36364,38489,38686,37436,38889,35838,40946,48208,45335
Karnataka,109098,113699,113699,114440,117580,117710,120606,127540,134042,142322,137600,134021,136689,137338
Kerala,103847,104200,104200,104025,104350,105255,108530,110620,118369,148313,172137,158989,176334,206789
Madhya Pradesh,181741,191799,191799,196867,189172,194711,202386,206556,207762,214269,217094,220335,227453,272423
Maharashtra,171233,165462,165462,176302,187027,191788,195707,206243,199598,208168,204902,202700,234385,249834
Manipur,2489,2584,2584,2535,2913,2884,3259,3349,2852,2715,3218,3737,3178,3641
Meghalaya,1687,1664,1664,1752,1880,1935,2079,2318,2448,2505,2755,2557,3259,3679
Mizoram,2246,2820,2820,1515,2156,2073,2083,1989,2047,2174,1821,1766,1709,2140
Nagaland,1234,1114,1114,984,1049,1103,1180,1202,1059,1059,1083,1090,1216,1157
Odisha,46661,47728,47728,48739,51685,52792,54872,56755,55740,56459,61277,67957,71718,74569
Punjab,27774,28794,28794,25630,27136,32068,35793,35314,35545,36648,34883,35790,36667,37162
Rajasthan,155185,151248,151248,154859,140917,141992,148870,151174,166565,162957,165622,170948,196224,210418
Sikkim,444,485,485,631,552,703,667,730,669,552,596,528,851,1065
Tamil Nadu,154801,166942,166942,166606,162360,148972,172754,176833,174691,185678,192879,200474,203579,193200
Tripura,2801,3075,3075,3081,3356,3940,4273,5336,5486,5805,5803,6264,6210,5499
Uttar Pradesh,178129,146037,146037,130181,122108,127001,150258,168996,172884,174179,195135,198093,226445,240475
Uttarakhand,8073,7976,7976,8634,8033,8412,9599,8856,8802,9240,8774,8882,9546,9156
West Bengal,61563,58962,58962,69350,66406,68052,81102,105419,113036,129616,143197,161427,169535,193048
